==> Running stage: pilot_llm_attacker_full
Gemini network error (sync, RemoteProtocolError) attempt 1 role=patient; sleep 0.2s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.2s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.9s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.3s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.5s
Gemini network error (RemoteProtocolError) on attempt 1 for role=agent; sleeping 0.7s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.3s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.3s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.4s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.1s
Gemini network error (sync, ConnectError) attempt 1 role=patient; sleep 0.1s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.9s
Gemini network error (ReadError) on attempt 1 for role=agent; sleeping 0.1s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.6s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.1s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.7s
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.9s before retry
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.6s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.4s
Gemini network error (ConnectError) on attempt 1 for role=agent; sleeping 0.1s
Gemini request_timeout on attempt 2 for role=agent; sleeping 1.8s before retry
Gemini network error (RemoteProtocolError) on attempt 2 for role=agent; sleeping 0.4s
Gemini request_timeout on attempt 2 for role=agent; sleeping 1.9s before retry
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.0s before retry
Gemini network error (sync, ConnectError) attempt 1 role=patient; sleep 0.7s
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.2s before retry
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.8s before retry
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.7s before retry
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.0s before retry
Gemini request_timeout on attempt 1 for role=agent; sleeping 0.4s before retry
Gemini network error (RemoteProtocolError) on attempt 1 for role=agent; sleeping 0.4s
Gemini 429 (sync) attempt 1 for role=agent; sleeping 0.4s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.3s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.1s
Gemini 429 (sync) attempt 2 for role=agent; sleeping 0.5s
Gemini 429 rate-limit on attempt 1 for role=agent; sleeping 0.7s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.4s
Gemini 429 rate-limit on attempt 1 for role=agent; sleeping 0.6s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.8s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 1.6s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.3s
Gemini 429 (sync) attempt 3 for role=agent; sleeping 3.8s
Gemini 429 rate-limit on attempt 2 for role=agent; sleeping 0.0s
Gemini 429 rate-limit on attempt 2 for role=agent; sleeping 1.4s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 2.5s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 1.1s
Gemini 429 rate-limit on attempt 3 for role=agent; sleeping 2.0s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 2.8s
Gemini 429 rate-limit on attempt 3 for role=agent; sleeping 2.8s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 2.7s
Gemini 429 rate-limit on attempt 1 for role=agent; sleeping 0.3s
Gemini 429 rate-limit on attempt 1 for role=agent; sleeping 0.7s
Gemini 429 rate-limit on attempt 1 for role=agent; sleeping 0.8s
Gemini 429 rate-limit on attempt 2 for role=agent; sleeping 1.0s
Gemini 429 rate-limit on attempt 1 for role=agent; sleeping 0.6s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 7.3s
Gemini 429 rate-limit on attempt 2 for role=agent; sleeping 1.5s
Gemini 429 rate-limit on attempt 2 for role=agent; sleeping 1.1s
Gemini 429 rate-limit on attempt 4 for role=agent; sleeping 5.8s
Gemini 429 (sync) attempt 4 for role=agent; sleeping 0.8s
Gemini 429 rate-limit on attempt 2 for role=agent; sleeping 1.0s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 5.9s
Gemini 429 rate-limit on attempt 3 for role=agent; sleeping 1.3s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 6.5s
Gemini 429 rate-limit on attempt 4 for role=agent; sleeping 3.4s
Gemini 429 rate-limit on attempt 3 for role=agent; sleeping 3.4s
Gemini 429 (sync) attempt 5 for role=agent; sleeping 0.1s
Gemini 429 rate-limit on attempt 3 for role=agent; sleeping 3.4s
Gemini 429 rate-limit on attempt 3 for role=agent; sleeping 0.1s
Gemini 429 (sync) attempt 1 for role=agent; sleeping 0.6s
Gemini network error (sync, ConnectError) attempt 1 role=agent; sleep 1.0s
Gemini 429 rate-limit on attempt 4 for role=agent; sleeping 4.3s
Gemini 429 rate-limit on attempt 4 for role=agent; sleeping 2.0s
Gemini 429 (sync) attempt 2 for role=agent; sleeping 1.9s
Gemini 429 (sync) attempt 2 for role=agent; sleeping 1.1s
Gemini 429 rate-limit on attempt 5 for role=agent; sleeping 11.8s
Gemini 429 rate-limit on attempt 4 for role=agent; sleeping 5.0s
Gemini 429 rate-limit on attempt 5 for role=agent; sleeping 12.4s
Gemini 429 (sync) attempt 3 for role=agent; sleeping 2.1s
Gemini 429 (sync) attempt 3 for role=agent; sleeping 3.2s
Gemini 429 rate-limit on attempt 4 for role=agent; sleeping 5.6s
Gemini 429 rate-limit on attempt 5 for role=agent; sleeping 14.0s
Gemini 429 rate-limit on attempt 5 for role=agent; sleeping 13.8s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 0.5s
Gemini 429 (sync) attempt 4 for role=agent; sleeping 7.5s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 6.0s
Gemini 429 (sync) attempt 1 for role=agent; sleeping 0.7s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.8s
Gemini 429 (sync) attempt 4 for role=agent; sleeping 4.1s
Gemini 429 (sync) attempt 2 for role=agent; sleeping 1.8s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 1.7s
Gemini 429 rate-limit on attempt 5 for role=agent; sleeping 11.7s
Gemini 429 (sync) attempt 3 for role=agent; sleeping 2.9s
Gemini 429 rate-limit on attempt 5 for role=agent; sleeping 11.3s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 2.7s
Gemini 429 (sync) attempt 5 for role=agent; sleeping 0.3s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.1s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.4s
Gemini 429 (sync) attempt 4 for role=agent; sleeping 3.0s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.8s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 7.3s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.2s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 2.3s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 0.7s
Gemini 429 (sync) attempt 5 for role=agent; sleeping 6.7s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.6s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 5.5s
Gemini 429 (sync) attempt 5 for role=agent; sleeping 0.7s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.7s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 3.0s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.2s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 2.6s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.8s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.3s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.0s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 4.0s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 1.3s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.4s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 6.7s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 1.0s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.1s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 5.2s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.7s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 3.8s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 6.8s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 0.6s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.7s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 1.3s
Gemini 429 (sync) attempt 1 for role=patient; sleeping 0.4s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 6.1s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 1.2s
Gemini 429 (sync) attempt 2 for role=patient; sleeping 0.9s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 1.9s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 3.8s
Gemini 429 (sync) attempt 3 for role=patient; sleeping 2.6s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 2.4s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 1.4s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 9.2s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 11.0s
Gemini 429 (sync) attempt 5 for role=patient; sleeping 6.6s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 0.5s
Gemini 429 (sync) attempt 4 for role=patient; sleeping 1.4s
